,salario,secao,subclasse,saldomov,cbo2002,categoria,grau,idade,horascontratuais,racacor,sexo,tipoempregador,tipoestabelecimento,tipomovimentacao,tipodedeficiencia,indtrabintermitente,indtrabparcial,tamestabjan,indicadoraprendiz,origemdainformacao,indicadordeforadoprazo,unidadesalariocodigo,valorsalariofixo,nome_ocu
2609581,"7637,00",J,6311900,1,212405,101,9,27.0,"44,00",1,1,0,1,97,0,0,0,8,0,1,0,5,"7637,00",Analista de Desenvolvimento de Sistemas
2609582,"7166,83",K,6422100,-1,212405,101,9,32.0,"44,00",3,1,0,1,31,0,0,0,10,0,1,0,5,"7166,83",Analista de Desenvolvimento de Sistemas
2609583,"6000,00",N,8211300,1,212405,101,9,21.0,"41,00",1,1,0,1,97,0,0,0,10,0,1,0,5,"6000,00",Analista de Desenvolvimento de Sistemas
2609587,"2300,00",J,6209100,-1,212405,101,9,23.0,"40,00",1,1,0,1,31,0,0,0,4,0,1,0,5,"2300,00",Analista de Desenvolvimento de Sistemas
2609592,"7620,97",M,6920601,-1,212405,101,9,32.0,"40,00",1,3,0,1,40,0,0,0,9,0,1,0,5,"7620,97",Analista de Desenvolvimento de Sistemas
2609593,"3700,00",M,7320300,-1,212405,101,7,41.0,"40,00",1,1,0,1,40,0,0,0,6,0,1,0,5,"3700,00",Analista de Desenvolvimento de Sistemas
2609598,"9000,00",M,7020400,-1,212405,101,9,25.0,"44,00",6,1,0,1,40,0,0,0,10,0,1,0,5,"9000,00",Analista de Desenvolvimento de Sistemas
2609600,"8000,00",J,6204000,-1,212405,101,9,28.0,"44,00",1,1,0,1,40,0,0,9,10,0,1,0,5,"8000,00",Analista de Desenvolvimento de Sistemas
2609601,"2033,60",J,6209100,1,212405,101,8,26.0,"40,00",1,1,0,1,97,0,0,0,5,0,1,0,5,"2033,60",Analista de Desenvolvimento de Sistemas
2609604,"5114,49",S,9493600,-1,212405,101,7,42.0,"35,00",1,1,0,1,40,0,0,0,5,0,1,0,5,"5114,49",Analista de Desenvolvimento de Sistemas
